name;url;description;field
claptic;https://www.claptic.com/;claptic - die smarteste Notrufuhr mit den mehrfach ausgezeichneten Sicherheitsfunktionen: Telefon und Hilfe direkt am Handgelenk. Sturz, Unfall oder Notfall – die claptic ruft automatisch Hilfe.;IA/Kommunikation
CLARK;https://echord.eu/essential_grid/clark/index.html;The project is focus on robotized Comprehensive Geriatric Assessment. In particular, it focuses on the development of CLARC, a mobile robot able to receive the patient and his family, accompany them to the medical consulting room and, once there, help the physician to capture and manage their data during the Comprehensive Geriatric Assessment (CGA) procedures.;wA/Robotik
CLINISERVE;https://www.cliniserve.de/;Unser Fokus liegt neben verbesserter Kommunikation zwischen Pflegekräften und Patienten auf digitalen Schichtkonzepten, die Arbeitsprozesse für das Klinikpersonal erleichtern und verbessern und dabei helfen den, Pflegeengpass zu reduzieren.;prA/Kommunikation
coachFORcare;https://www.coachforcare.de/;Wir decken den gesamten Prozess der betrieblichen Gesundheitsförderung in der Pflege ab – von der Analyse über die Planung und Umsetzung bis zur wiederkehrenden Erfolgskontrolle;wA/Kommunikation
cogvis;https://cogvis.ai/;cogvisAI kann mittels 3D Smart-Sensoren Bewegungen im Raum erkennen, analysieren & in kritischen Situationen einen Alarm auslösen.;IA/Assistenzsystem
COREDINATE;https://www.coredinate.de/produkte/pflege;Beseitigen Sie mit COREDINATE alle Unklarheiten. Dokumentieren Sie nicht nur Ihre Anwesenheit zweifelsfrei, sondern auch die ausgeführten Tätigkeiten und definieren Sie Transparenz in der Pflege neu. Dafür gibt es die Pflegedokumentation von COREDINATE.;prA/Dokumentation
CrayX;https://www.germanbionic.com/cray-x-systemloesung/;Das Cray X bietet unmittelbare Unterstützung bei allen Aufgaben, die manuelles Handling beinhalten. Doch dies ist erst der Anfang. Logistikprozesse lassen sich auch langfristig sicherer und effektiver gestalten. Nur German Bionic bietet eine komplette Systemlösung an, die sich in digitale Logistik- und Smart-Warehouse-Workflows einbinden lässt. Zusätzlich bietet German Bionic Echtzeitdaten und zeigt die Auswirkung auf die Gesundheit der Mitarbeiter, sowie die nachhaltige Steigerung der Effizienz in Supply-Chain-Prozessen und der Wirtschaftlichkeit von Unternehmen auf.;prA/Assistenzsystem
CRDL;https://www.crdl.com/de/home-de/;Das CRDL (Cradle) ist ein interaktives Pflegeinstrument, dass durch die Umsetzung der zwischenmenschlichen Berührung in Geräusche eine neue Form von Kontakt ermöglicht.;IA/Assistenzsystem
CuraSoft;https://www.curasoft.de/;"CuraSoft kann mehr als du denkst! Unsere Plattform ermöglicht es Drittanbietern, sich nahtlos anzudocken und Informationen aus CuraSoft in ihre eigene Software zu integrieren.
Der Vorteil? Du sparst dir doppelte Datenpflege und kannst verschiedene Anwendungen – von Buchhaltung über Sales bis hin zu Marketing – ganz einfach miteinander verknüpfen. Alles läuft zentral über CuraSoft, sodass du effizienter arbeiten kannst.";prA/Dokumentation 
DayClocks;https://www.dayclocks.de/;DayClocks sorgt tagtäglich für Struktur und Übersicht, da nicht nur die Uhrzeit, sondern auch die Termine des Benutzers angezeigt werden. Diese können vom Benutzer und/oder von der Pflegekraft eingeplant werden.;IA/Kommunikation
Decon-X;https://decon-x-deutschland.de/;Seit 2014 entwickelt Decon-X International unermüdlich Technologien, die Institutionen zur echten Desinfektions-Prävention führen. Es geht um die Konzeptumkehr: Nicht nur Ausbrüche bekämpfen, sondern auch bereits verhindern. Unsere Decon-X-Technologie wurde von einem Expertenteam aus Forschern, IT-Spezialisten und Ingenieuren bis ins kleinste Detail durchdacht – mit besonderem Fokus auf höchste Praktikabilität und Zuverlässigkeit;prA/Robotik
DEJORIS;https://www.dejoris.de/de/uebersicht;Mit DEJORIS erstellen Sie in nur fünf Schritten Ihren fertigen Dienstplan. Intuitive Funktionen helfen Ihnen anschließend u.a. mit Ihren Mitarbeitern zu kommunizieren, Auswertungen zu erstellen oder auch Arbeitszeiten zu erfassen. ;prA/Dokumentation
DigiRehab;https://dev.digirehab.de/;DigiRehab ist ein maßgeschneidertes und kosteneffizientes digitales Übungsprogramm, das in der Altenpflege zum Einsatz kommt und die Lebensqualität von Mitarbeitern und Patienten in Pflegeeinrichtungen nachhaltig verbessert.;IA/Kommunikation
DM7;https://dm-edv.de/produkte/dm7-stationaer/;Verwaltung und Abrechnung, Einsatz- und Tourenplanung, Pflegeplanung und Dokumentation, Dienstplanung, Controlling und Management und DM7 Mobile – entdecken Sie die intelligenten Module unserer stationären Lösung.;prA/Dokumentation
DMRZ-Pflegeapp;https://www.dmrz.de/software/pflege-app?gclid=EAIaIQobChMItJb3peie8wIV6UaRBR0ysQwwEAAYASAAEgJT9vD_BwE;Einfach mit der praktischen App-Funktion SmartSnapp QR-Code auf den Pflegedokumenten fotografieren und die Daten werden automatisch im System erfasst. Eine zeitaufwendige Nachbearbeitung bleibt Ihnen erspart!;prA/Dokumentation
Dragon Medical One;https://www.nuance.com/de-de/healthcare.html;Die neue Generation der Spracherkennung. Jederzeit und überall verfügbar aus der deutschen Cloud.;prA/Dokumentation
easierLife;https://www.easierlife.de/;Mobiles intelligentes Notrufsystem für Demenzerkrankte, Sicherheit für Weglaufgefährdete durch Geofencing, Basisstation mit Bewegungssensoren, Kontaktsensoren, Aktivitätsmessung durch Infrarot, einschl. mobiler App für Benachrichtigungen zur Situation und Notruf, Wohlaufbenachrichtigung per App;IA/Kommunikation
ecaria;https://ecaria.de/;Wir entwickeln digitale Lösungen, um die Organisation von Pflegebedürftigkeit, zustehenden Leistungsansprüchen und bürokratischen Vorgängen in der Pflege für pflegende Angehörige und Pflegebedürftige ganzheitlich zu erleichtern – daher steht neben der digitalen Begleitung über die „Pflegereise“ hinweg auch das Thema inhaltliche Befähigung im Vordergrund.;wA/Kommunikation
ePA;https://www.epa-cc.de/;epa (effiziente Pflegeanalyse) ist ein System zur elek­tronischen Pflege­prozess­­doku­mentation. Es bildet Pflege­verläufe ab und liefert solide Ent­scheidungs­grundlagen für Pflege­­fach­personen und Klinik­­management.;prA/Dokumentation
escos-Copilot;https://www.escos-automation.com/;Der Copilot von escos ist ein digitaler Pflegeassistent, der ein selbstbestimmtes Leben im Alter fördert. Er erkennt schnell und zuverlässig Notfälle und leitet umgehend Hilfe ein – ganz ohne aktive Beteiligung der Nutzer:innen. Seine Sensoren erfassen z. B., wenn eine Person stürzt oder ein Herd noch in Betrieb ist.;IA/Assistenzsystem
GaBaLEARN;http://eduproject.eu/gabalearn/;Der BMBF-Projektverbund „Game Based Learning in Nursing – Spielerisch Lernen in authentischen, digitalen Pflegesimulationen“ (GaBa_Learn) arbeitet an der Entwicklung und Erprobung von computerbasierten Lernspielen, die für eine komplexe pflegerische Fallarbeit im Rahmen der Pflegeausbildung eingesetzt werden können.;wA/Kommunikation
geta(i)plan;https://www.hawk-intech.com/;getaiplan ist eine intelligente Schichtplanungssoftware für die hochflexible Personaleinsatzplanung, optimiert für die Industrie. Hierbei kommt künstliche Intelligenz (ai) zum Einsatz.;prA/Dokumentation
GO ON;https://www.godo-systems.de/ambulante-betreuung/ambulant-manager/;GO ON® Ambulante Betreuung ist Ihre moderne Software für die ambulante Pflegedienste, Intensivpflege, Hilfen im Alltag und Tagespflege.;prA/Dokumentation
Granny Vision;https://www.granny-vision.com/vr-fuer-senioren-pflege;Wir wollen älteren Personen in der virtuellen Realität Erlebnisse ermöglichen, die sie auf Grund ihrer physischen oder psychischen Verfassung nicht mehr real erleben können. Beispielsweise durch den Wald zu spazieren, den Sonnenuntergang am Strand genießen, den Besuch einer Oper oder eine Busfahrt durch Rom.;IA/Kommunikation
G-Guard;https://www.pikk-systems.de/produkte/PIKKSENSE/pikksense-senior.htm;Der G-Guard ist ein weltweit einzigartiges Sturzerkennungssystem, welches keinerlei Energien wie z.B Radar, Licht-, Laser oder Infrarotstrahlung aussendet. Es kann 24x7 autark und selbstständig Stürze von Personen erkennen.;IA/Kommunikation
Helfer Portal;https://www.helferportal.de/;Die Helferportal GmbH & Co. KG unterstützt soziale Organisationen und Kommunen beim Aufbau und Management von Helferkreisen. Wir bringen logistisches Know-how und Digitalisierung in den sozialen Bereich ein.;wA/Kommunikation
HerzBegleiter;https://herzbegleiter.de/startseite/;Mit der sofort verfügbaren Hilfe der Tele-Pflegeberatung verbessern und entlasten wir die Versorgungssituation von Pflegenden und Pflegebedürftigen. Pflegeexperten sprechen und sehen. Drängende persönliche Fragen rasch beantworten für eine bessere Bewältigung des Alltags.;IA/Telecare
HLth.care;https://hlthcare.club/#organisatorisch-entlastet;Die HLth.care Team App unterstützt die Selbstorganisation von Teammitgliedern und verringert den Aufwand für das Organisatorische im Team. Es gibt zahlreiche Funktionen: Dienstplan führen und teilen, Chatten, Digitaler Berufsausweis, Skill-Suche, Krankmeldungen, Ausfallmanagement, Dienste in- extern ausschreiben, Springerpool Management, Arbeitszeiterfassung und Leistungsdokumentation, Diensttausch-Assistent auch mit abteilungsübergreifendem Tauschen, Zeitkorrekturen, Pausenkorrekturen, Arbeitszeiterfassung, Schnittselle zu HR und Kliniksystemen, Bitte-nicht-stören Funktion, Frei-& Dienstwünsche übermitteln und vieles mehr. ;prA/Dokumentation
hublo;https://hublo.com/de;Durch hohe Ausfallquoten und den temporären Anstieg des Arbeitsaufkommens ist das Ausfallmanagement zu einer strukturellen Herausforderung für Gesundheits- und Pflegeeinrichtungen geworden. Wir bieten unseren Kunden eine intuitive und effektive digitale Lösung, die Ihrem Anspruch gerecht wird.;prA/Kommunikation
icho;https://icho-systems.de/;Mit ichó bringen wir dir dein persönliches Therapiesystem nach Hause, damit du die beste Förderung erhältst. ichó unterstützt dich bei deinem Therapieprozess, für ein selbstbestimmtes und uneingeschränktes Leben.;IA/Kommunikation
iliviClinic;https://www.ilvi.io/ilviclinic?lang=en;Supports the essential processes of clinic staff. ilviClinic controls the exchange of data with various medical devices and forms the interface between patient, nurse and hospital information system (HIS).;prA/Kommunikation
iliviHome;https://www.ilvi.io/ilvihome?lang=en;With the help of ilviHome, a large number of parameters can be recorded at home by the patients themself and transferred to the clinic. Avoid unnecessary hospital stays.;prA/Telecare
KI-Campus;https://ki-campus.org/datenfluss;Der Kurs „Stadt | Land | DatenFluss“ sensibilisiert für einen souveränen Umgang mit Daten in einer digitalisierten Welt und weckt das Interesse an neuen datengestützten Technologien.;wA/Kommunikation
LAQA;https://www.laqa.de/;Der smarte Trinkbecher von LAQA erinnert den Nutzer an eine ausreichende Flüssigkeitsaufnahme. Das Trinkverhalten wird erfasst und die gewonnen Daten zur Analyse in unser Rechenzentrum übermittelt. Dort ist für jeden Nutzer ein Trinkprofil hinterlegt, mit dem der jeweilige Flüssigkeitskonsum abgeglichen wird. ;IA/Assistenzsystem
LearnBase;https://www.althammer-kill.de/akademie/e-learning;Digitalisierung ist längst nicht mehr nur ein Thema über das man redet, sondern mit dem stetigen Zuwachs von Homeoffice, mobiler Arbeit und Telearbeit auch eines in dem viel Bewegung ist und für das etwas getan wird. Wir unterstützen Sie an dieser Stelle passgenau mit unserer E-Learning-Plattform LearnBase, mit der Sie Ihre Mitarbeitenden einfach, bequem und zeitsparend überall schulen und unterweisen können.;wA/Kommunikation
LearningApps;https://learningapps.org/;LearningApps.org unterstützt Lern- und Lehrprozesse mit kleinen interaktiven, multimedialen Bausteinen, die online erstellt und in Lerninhalte eingebunden werden. Für die Bausteine (Apps genannt) steht eine Reihe von Vorlagen (Zuordnungsübungen, Multiple Choice-Tests etc.) zur Verfügung. Die Apps stellen keine abgeschlossenen Lerneinheiten dar, sondern müssen in ein Unterrichtsszenario eingebettet werden.;wA/Kommunikation
LifeBonus;https://www.lifebonus.health/;LifeBonus ist Marktführer im Bereich der berufsspezifischen Gesundheitsförderung für Pflegende. Wir betreuen Tausende von beruflichen Pflegekräften in ganz Deutschland. Wir unterstützen pflegende Angehörige mit der »ich pflege« App. Und wir bündeln Gesundheitskompetenz von heute mit den digitalen Möglichkeiten von morgen.;wA/Kommunikation
LINarm++;https://echord.eu/linarm.html;LINarm++ is a device for neuromuscular rehabilitation of the upper limb, designed to enable rehabilitation training and treatment in both home and clinical environment.;IA/Telecare
Lindera;https://lindera.de/de-de/lindera;Die LINDERA Mobilitätsanalyse vereinfacht die individuelle Sturzrisikobewertung und liefert direkt Maßnahmenempfehlungen, integriert in den Pflegealltag und gemäß der SIS. ;wA/Dokumentation
LingoCARE;https://lingo.care/;Lingocare ist ein junges Digitalunternehmen mit online Lernangeboten extra für Pflegekräfte. Schwerpunkt sind unsere Online-Deutschkurse. Die fehlenden Sprachkompetenzen von Pflegekräften stellen Einrichtungen täglich vor große Herausforderungen. Corona zeigte uns: Lernen geht auch digital.;wA/Kommunikation
Lio;https://www.fp-robotics.com/de/lio/;Lio ist ein freundlicher, mobiler Roboter mit einem funktionalen Arm, der Menschen aktiv unterstützt. Er wird an verschiedenen Orten eingesetzt – in Pflege- und Altenpflegeeinrichtungen, Rehabilitationszentren oder zu Hause. Lio ist in der Lage, mit Menschen zu kommunizieren, sie zu unterhalten und Fachleute bei ihren täglich anfallenden Aufgaben zu unterstützen.;IA/Robotik
Lylu;https://lylu-2023.webflow.io/;Das Herzstück des Lylu Senioren Tablets ist die seniorengerechte Software, die es Senioren ermöglicht beliebte Apps einfach und unkompliziert zu nutzen. Mit den Liebsten per Video telefonieren. Bilder von Erlebnissen mit den Enkeln teilen. Sprachnachrichten versenden. Lustige Videos auf YouTube anschauen. Wikipedia durchstöbern. Spiele spielen. Alles kein Problem mit Lylu. Denn alle Funktionen folgen der gleichen einheitlichen und seniorengerechten Bedienung. Es gibt keine Pop-ups und keine Werbungen.;IA/Kommunikation
magic minutes;https://www.magic-minutes.de/;magic minutes bietet sorgsam ausgewählte Musik, Bilder, Töne, Hörstücke und Übungen für die spontane Aktivierung. Vorkenntnisse für die Bedienung sind nicht notwendig. Eine kurze Anleitung im Portal erklärt anschaulich die einfache grundlegende Funktionsweise aller Anwendungen. magic minutes ist auf allen mobilen und stationären Endgeräten einsetzbar.;IA/Kommunikation
medanets;https://medanets.com/de/;Die Medanets Krankenhaus-App wurde zusammen mit Fachkräften aus dem Gesundheitswesen entwickelt. Sie vereinfacht die Pflegeroutinen, unterstützt die Entscheidungsfindung und gewährleistet durch die digitale Dokumentation zusätzliche Zeit für Pflegemaßnahmen direkt beim Patienten.;prA/Dokumentation
media4care;https://www.media4care.de/;Media4Care ist Ausdruck eines tief sitzenden Wunsches: Mehr Lebensfreude für Senioren, Pflegebedürftige und Menschen mit Demenz zu ermöglichen. Gemeinsam entwickelt unser engagiertes Team ein innovatives Tablet mit einzigartigen Inhalten.;IA/Kommunikation
MediActive;https://www.medicactiv.com/en/;Role playing simulators allows learners in graduate or continuing education to develop, refine, and apply knowledge and skills in a realistic situation. By interacting with patients and objects in a situation close to everyday life, virtual simulation improves critical thinking, acquisition of automatisms and clinical decision-making skills.;wA/Kommunikation
MediFox;https://www.medifox.de/pflege-app/;MediFox steht für ganzheitliche Softwarelösungen für Ihren Pflegedienst. Mit der weiter fortschreitenden Digitalisierung ergeben sich immer größere Anforderungen an Mobilität und Flexibilität. Dadurch wird auch das Smartphone immer wichtiger, sodass Sie auch von unterwegs aus arbeiten können und sich keine Lücken ergeben.;prA/Dokumentation
medipee;https://www.medipee.com/?cookie-state-change=1636478251896;Über 2 Milliarden Urintests pro Jahr sind häufig fehlerhaft, zeitaufwändig und vor allem unangenehm in der Probenahme. Für die bisherige Messung müssen Probanden meist umständlich in einen Becher urinieren. Danach wird die Probe über viele manuelle Zwischenschritte weiter verarbeitet. Medipee löst dieses Problem in dem der Urin unmittelbar dort analysiert wird, wo er abgegeben wird. Wir digitalisieren die Urinanalyse mit einer App samt Gerät, das an die Toilette geklipst wird.;prA/Assistenzsystem
OPUS;https://myopus.eu/Branchenloesungen/Ambient-Assisted-Living/;Ambient Assisted Living (AAL) bietet innovative Lösungen, um Menschen dabei zu helfen, länger in ihren eigenen vier Wänden zu bleiben und gleichzeitig Sicherheit, Komfort und Unabhängigkeit zu gewährleisten. Dieses unterstützende Wohnkonzept umfasst eine Vielzahl von Technologien, darunter Sensoren, intelligente Geräte und Kommunikationssysteme, die dazu beitragen, den Alltag zu erleichtern und die Lebensqualität zu verbessern. Erfahren Sie mehr über die Möglichkeiten, die OPUS für ein aktives und gesundes Leben bietet, unabhängig von Alter oder Einschränkungen.;IA/Kommunikation
M-Guard;https://www.panion.eu/;Der M-GUARD PRO ist ein Notrufarmband mit integriertem Notrufknopf, GPS-Ortungsfunktion, Telefonfunktion und integriertem Sturzsensor*. Durch die einfache Bedienung, bietet der M-GUARD PRO einen optimalen Schutz für Senioren und Pflegebedürftige.;IA/Kommunikation
MiRo-E;https://consequentialrobotics.com/miroe;MiRo is a fully programmable autonomous robot for researchers, educators, developers and healthcare professionals. With six senses, eight degrees of freedom, an innovative brain-inspired operating system and a simulation software package, MiRo is a flexible platform suited for developing companion robots.;IA/Robotik
Mobility Monitor;https://www.compliant-concept.ch/produkte/spital/#produkt-mobility-monitor;Das Patientenmonitoring-System Mobility Monitor™ ermöglicht Ärzten und Pflegeexperten in Echtzeit eine massgebliche Optimierung verschiedener Qualitätsindikatoren, insbesondere Sturz und Dekubitus, sowie Schmerzen und Delir. Durch kontinuierliches Auswerten der Bewegungen sowie des Aufsteh- und Schlafverhaltens der zu pflegenden Personen werden die notwendigen Massnahmen und zu treffenden Vorkehrungen rechtzeitig erkannt und können dynamisch bedürfnisgerecht angepasst werden.;prA/Dokumentation
moio.care;https://moio.care/;Gute Pflege braucht Zeit. Das moio.care System ist rund um die Uhr für pflegebedürftige Menschen da, um ihre Pflege zu verbessern und Sie zu entlasten. Der digitale Pflegeassistent erkennt Notsituationen und informiert Sie, wenn Sie gebraucht werden.;IA/Assistenzsystem
Moodle;https://moodle.org/;Mit Hunderten Millionen Benutzern auf der ganzen Welt und Übersetzungen in über 100 Sprachen gibt Ihnen Moodle die Freiheit, Online-Lehr- und Schulungslösungen zu erstellen, die den Bedürfnissen Ihrer Lernenden am besten entsprechen.;wA/Kommunikation
MYO;https://www.ppz-nuernberg.de/myo/;Mittels der datenschutzkonformen App konnten sie die Angehörigen anhand von Fotos, Videos, Text- und Sprachnachrichten am Alltag der Bewohner*innen jederzeit teilhaben lassen. Dadurch wurde die wertvolle Arbeit der Pflege- und Betreuungskräfte transparenter und eine motivierende Anerkennung seitens der Familien war häufig in deren eingehenden Antworten und Reaktionen erkennbar.;IA/Kommunikation
navel robotics;https://navelrobotics.com/;Wir entwickeln eine soziale Roboterfigur, die Betreuungskräfte entlastet und das Wohlbefinden Pflegebedürftiger steigert. Sie ist komplett autonom, bewegt sich frei im Raum, sucht aktiv den Kontakt zu Menschen und animiert zur Interaktion. Per Sprache begrüßt die Roboterfigur beim Namen, fragt nach dem Wohlbefinden, gibt Informationen zum Mittagessen oder bietet bei Langeweile auch sprachbasierte Spiele an. Die Figur kann sogar Interventionen aus der Positiven Psychologie durchführen.;IA/Robotik
nevis;https://nevisq.com/;Wir glauben an eine Gesellschaft, in der jeder in Würde altern kann, und dass Freiheit und Sicherheit Hand in Hand gehen müssen. Deshalb haben wir unter der Marke nevisCura verschiedene Lösungen entwickelt, die Stürze erkennen und verhindern. Als technischer Helfer entlastet nevisCura Pflegekräfte und ermöglicht Senioren ein sicheres Leben.;IA/Assistenzsystem
NICE;https://nice-education.de/;Das Network for International Care Education - kurz NICE - ist eine E-Learning Plattform, die auswärtige Pflegefachpersonen durch Fachsprachübungen und Kulturvermittlung dabei unterstützt, sich besser im Arbeitsalltag und im privaten Leben in Deutschland zurechtzufinden.;wA/Kommunikation
nobi;https://nobi.life/;Nobi enables elderly people to live at their desired place for as long as possible. With its smart lamps Nobi can detect falls and can, if needed, contact family or caregivers quickly.;IA/Kommunikation
NOVAHEAL;https://novaheal.de/;An Novaheal arbeiten Lehrkräfte, Psycholog:innen, UX-Designer:innen, Entwickler:innen und Pflegekräfte gemeinsam, um eine Lernplattform zu schaffen, die das hält, was sie verspricht: Auszubildende sicher und praxisnah auf dem Weg zur Pflegekraft begleiten!;wA/Kommunikation
NuersePlan;http://www.nurseplan.de/;NursePlan® ist eine Computersimulation, die typische Planungs- und Problemlöseanforderungen abbildet, wie sie täglich im Stationsalltag vorkommen. Die Aufgabe für die Nutzerinnen und den Nutzer besteht darin, in der virtuellen Pflegewelt verschiedene pflegerische Probleme zu erkennen und dann geeignete Pflegemaßnahmen umzusetzen.;wA/Kommunikation
